Time;Voltage;Current;T1;T2
368;3639;996;28.718561;34.293388
369;3641;1004;28.745569;34.293388
370;3639;1005;28.772547;34.26812
371;3639;1005;28.745569;34.242821
372;3639;997;28.745569;34.242821
373;3641;1003;28.745569;34.217522
374;3639;996;28.799494;34.26812
375;3637;1002;28.799494;34.242821
376;3639;998;28.826441;34.242821
377;3639;999;28.799494;34.242821
378;3639;1002;28.826441;34.26812
379;3639;1003;28.799494;34.26812
380;3639;996;28.799494;34.242821
381;3641;1002;28.826441;34.26812
382;3639;996;28.826441;34.26812
383;3639;1003;28.826441;34.293388
384;3639;996;28.745569;34.26812
385;3641;996;28.799494;34.293388
386;3641;1003;28.799494;34.293388
387;3641;996;28.799494;34.26812
388;3639;1003;28.799494;34.26812
389;3641;996;28.799494;34.242821
390;3641;996;28.799494;34.242821
391;3641;1003;28.799494;34.26812
392;3641;996;28.826441;34.242821
393;3641;997;28.799494;34.26812
394;3639;1003;28.826441;34.242821
395;3641;997;28.853388;34.242821
396;3641;1003;28.826441;34.242821
397;3644;1004;28.826441;34.242821
398;3641;997;28.826441;34.26812
399;3641;996;28.799494;34.242821
400;3641;1003;28.826441;34.217522
401;3641;999;28.826441;34.217522
402;3641;996;28.799494;34.242821
403;3641;1004;28.799494;34.242821
404;3644;996;28.826441;34.242821
405;3641;1003;28.826441;34.242821
406;3641;997;28.826441;34.217522
407;3641;1003;28.826441;34.26812
408;3641;996;28.826441;34.217522
409;3644;1002;28.799494;34.242821
410;3641;996;28.826441;34.217522
411;3644;996;28.826441;34.217522
412;3641;1002;28.799494;34.217522
413;3644;996;28.826441;34.217522
414;3644;1004;28.799494;34.217522
415;3644;996;28.772547;34.217522
416;3641;1003;28.826441;34.217522
417;3644;998;28.826441;34.217522
418;3644;996;28.826441;34.242821
419;3644;1004;28.826441;34.242821
420;3644;996;28.826441;34.217522
421;3641;1002;28.853388;34.192223
422;3641;996;28.853388;34.141624
423;3644;1003;28.826441;34.116325
424;3644;996;28.826441;34.116325
425;3644;996;28.853388;34.116325
426;3644;1003;28.853388;34.141624
427;3646;996;28.853388;34.141624
428;3644;1002;28.826441;34.166954
429;3644;996;28.799494;34.166954
430;3644;1002;28.826441;34.192223
431;3644;1005;28.826441;34.217522
432;3644;996;28.826441;34.217522
433;3644;997;28.826441;34.217522
434;3644;1003;28.799494;34.166954
435;3644;996;28.745569;34.166954
436;3644;1003;28.799494;34.192223
437;3644;1004;28.799494;34.192223
438;3646;996;28.772547;34.217522
439;3644;1003;28.799494;34.217522
440;3646;997;28.772547;34.192223
441;3646;996;28.772547;34.217522
442;3646;1003;28.799494;34.166954
443;3646;1002;28.799494;34.192223
444;3646;996;28.799494;34.192223
445;3646;1002;28.772547;34.166954
446;3646;995;28.745569;34.141624
447;3646;1002;28.772547;34.192223
448;3646;1003;28.772547;34.166954
449;3648;996;28.745569;34.166954
450;3646;1002;28.745569;34.166954
451;3646;998;28.772547;34.141624
452;3646;1004;28.745569;34.166954
453;3646;996;28.745569;34.166954
454;3646;996;28.745569;34.166954
455;3646;998;28.745569;34.166954
456;3646;1004;28.718561;34.192223
457;3646;1004;28.745569;34.192223
458;3646;1004;28.718561;34.166954
459;3648;996;28.718561;34.192223
460;3648;1003;28.745569;34.192223
461;3646;996;28.772547;34.192223
462;3648;996;28.745569;34.192223
463;3646;1002;28.745569;34.192223
464;3646;996;28.745569;34.192223
465;3646;1003;28.745569;34.192223
466;3648;1004;28.718561;34.116325
467;3650;996;28.745569;34.166954
468;3646;1002;28.745569;34.166954
469;3646;996;28.718561;34.141624
470;3648;1002;28.718561;34.141624
471;3648;1002;28.745569;34.141624
472;3648;996;28.718561;34.166954
473;3650;1005;28.718561;34.141624
474;3650;998;28.718561;34.166954
475;3648;1005;28.745569;34.192223
476;3648;1002;28.745569;34.166954
477;3652;995;28.718561;34.192223
478;3648;1002;28.718561;34.192223
479;3650;1002;28.718561;34.192223
480;3650;996;28.718561;34.166954
481;3650;1002;28.718561;34.166954
482;3648;996;28.745569;34.192223
483;3650;1004;28.745569;34.166954
484;3648;1002;28.745569;34.217522
485;3650;995;28.718561;34.217522
486;3650;1002;28.745569;34.217522
487;3650;996;28.745569;34.217522
488;3650;998;28.745569;34.192223
489;3652;1002;28.691584;34.166954
490;3650;996;28.745569;34.192223
491;3650;1002;28.745569;34.166954
492;3652;996;28.745569;34.192223
493;3655;997;28.718561;34.166954
494;3650;1002;28.745569;34.192223
495;3652;996;28.718561;34.166954
496;3650;1003;28.745569;34.217522
497;3650;1002;28.691584;34.217522
498;3652;996;28.718561;34.141624
499;3652;1005;28.718561;34.192223
500;3652;996;28.691584;34.166954
501;3650;996;28.691584;34.166954
502;3652;1003;28.718561;34.192223
503;3652;997;28.664576;34.166954
504;3650;1004;28.691584;34.192223
505;3652;1002;28.718561;34.192223
506;3652;996;28.691584;34.166954
507;3650;1002;28.718561;34.166954
508;3652;1005;28.691584;34.192223
509;3652;999;28.691584;34.116325
510;3652;1005;28.718561;34.141624
511;3652;998;28.691584;34.166954
512;3652;1003;28.691584;34.166954
513;3652;1002;28.691584;34.192223
514;3652;996;28.691584;34.192223
515;3652;998;28.691584;34.166954
516;3655;1002;28.691584;34.141624
517;3655;996;28.691584;34.166954
518;3652;995;28.664576;34.166954
519;3655;1002;28.718561;34.166954
520;3652;1002;28.718561;34.166954
521;3655;996;28.718561;34.141624
522;3652;1002;28.718561;34.166954
523;3655;996;28.718561;34.141624
524;3655;1002;28.718561;34.141624
525;3655;1002;28.718561;34.166954
526;3655;996;28.718561;34.141624
527;3655;1002;28.691584;34.141624
528;3655;996;28.664576;34.116325
529;3655;1004;28.691584;34.166954
530;3655;1002;28.691584;34.116325
531;3655;996;28.691584;34.090996
532;3655;1003;28.637598;34.116325
533;3655;996;28.691584;34.090996
534;3655;995;28.664576;34.116325
535;3655;1002;28.691584;34.090996
536;3655;995;28.691584;34.116325
537;3655;1002;28.691584;34.090996
538;3655;996;28.691584;34.116325
539;3655;996;28.691584;34.090996
540;3655;1002;28.718561;34.116325
541;3657;996;28.691584;34.090996
542;3655;1005;28.691584;34.065666
543;3657;996;28.691584;34.090996
544;3657;1002;28.691584;34.065666
545;3655;998;28.664576;34.040306
546;3657;1003;28.691584;34.065666
547;3657;997;28.637598;34.065666
548;3657;1002;28.691584;34.090996
549;3659;997;28.664576;34.065666
550;3659;1004;28.691584;34.065666
551;3655;996;28.637598;34.065666
552;3657;1003;28.637598;34.065666
553;3657;995;28.637598;34.065666
554;3657;1003;28.664576;34.090996
555;3657;996;28.664576;34.065666
556;3657;1002;28.691584;34.090996
557;3659;995;28.664576;34.065666
558;3657;1002;28.637598;34.065666
559;3657;1003;28.691584;34.065666
560;3657;996;28.637598;34.065666
561;3657;1003;28.664576;34.065666
562;3659;997;28.664576;34.065666
563;3659;1003;28.637598;34.065666
564;3657;995;28.691584;34.065666
565;3657;1003;28.691584;34.090996
566;3659;1002;28.664576;34.065666
567;3659;996;28.691584;34.065666
568;3659;1002;28.664576;34.065666
569;3659;995;28.664576;34.040306
570;3657;1002;28.691584;34.040306
571;3659;994;28.691584;34.040306
572;3659;1002;28.691584;34.014977
573;3659;995;28.637598;34.040306
574;3659;1002;28.691584;34.065666
575;3659;996;28.691584;34.065666
576;3659;995;28.718561;34.065666
577;3659;1002;28.718561;34.090996
578;3659;996;28.718561;34.065666
579;3659;996;28.718561;34.065666
580;3659;1004;28.718561;34.014977
581;3659;995;28.718561;34.040306
582;3659;1003;28.691584;34.065666
583;3659;1003;28.718561;34.065666
584;3661;995;28.718561;34.065666
585;3659;1002;28.718561;34.065666
586;3661;995;28.718561;34.065666
587;3659;1002;28.718561;34.065666
588;3659;1002;28.718561;34.090996
589;3659;996;28.691584;34.065666
590;3661;1002;28.718561;34.065666
591;3659;996;28.718561;34.065666
592;3661;996;28.718561;34.040306
593;3661;1002;28.718561;34.040306
594;3664;996;28.718561;34.040306
595;3664;1002;28.745569;34.040306
596;3664;996;28.718561;34.040306
597;3661;1002;28.718561;34.040306
598;3659;1002;28.691584;34.065666
599;3664;995;28.718561;34.040306
600;3661;1002;28.745569;34.014977
601;3664;996;28.745569;34.040306
602;3661;1002;28.718561;34.014977
603;3661;1002;28.718561;34.040306
604;3664;996;28.718561;34.014977
605;3661;1002;28.718561;34.040306
606;3661;1002;28.718561;34.040306
607;3664;995;28.718561;34.014977
608;3664;1002;28.718561;34.040306
609;3664;996;28.718561;34.014977
610;3661;1002;28.718561;34.014977
611;3664;995;28.718561;34.040306
612;3664;996;28.718561;34.040306
613;3664;1002;28.718561;34.014977
614;3661;1001;28.718561;34.014977
615;3661;996;28.691584;34.014977
616;3664;995;28.718561;34.014977
617;3664;1002;28.691584;34.040306
618;3664;995;28.691584;34.014977
619;3664;1002;28.691584;34.040306
620;3664;996;28.691584;34.014977
621;3664;995;28.664576;34.014977
622;3666;1004;28.691584;34.014977
623;3666;995;28.664576;34.014977
624;3664;1002;28.691584;34.014977
625;3664;996;28.664576;34.014977
626;3664;1002;28.691584;34.040306
627;3664;1002;28.691584;34.014977
628;3668;996;28.637598;34.014977
629;3666;1002;28.718561;34.014977
630;3666;996;28.691584;34.014977
631;3664;998;28.664576;34.014977
632;3666;1002;28.691584;34.014977
633;3666;995;28.691584;34.014977
634;3664;1004;28.691584;34.014977
635;3666;1002;28.718561;34.040306
636;3666;995;28.718561;34.014977
637;3664;1002;28.718561;34.014977
638;3666;994;28.718561;33.964287
639;3666;1002;28.745569;33.989647
640;3668;996;28.691584;33.989647
641;3668;1001;28.718561;33.989647
642;3666;1002;28.718561;34.014977
643;3666;996;28.718561;33.964287
644;3666;1002;28.691584;33.938927
645;3666;995;28.745569;33.888206
646;3666;1002;28.745569;33.913567
647;3668;1003;28.718561;33.888206
648;3668;996;28.745569;33.837425
649;3666;1002;28.772547;33.862816
650;3668;994;28.772547;33.888206
651;3666;1001;28.745569;33.913567
652;3666;1002;28.772547;33.938927
653;3668;994;28.745569;33.938927
654;3668;1002;28.799494;33.888206
655;3668;1002;28.799494;33.888206
656;3668;996;28.772547;33.913567
657;3668;1002;28.772547;33.913567
658;3668;995;28.745569;33.913567
659;3670;1001;28.745569;33.938927
660;3668;1002;28.772547;33.913567
661;3668;994;28.718561;33.964287
662;3668;1002;28.745569;33.964287
663;3668;996;28.718561;33.938927
664;3668;1001;28.745569;33.938927
665;3668;1002;28.745569;33.964287
666;3670;995;28.718561;33.964287
667;3668;1003;28.718561;33.964287
668;3668;995;28.745569;33.964287
669;3668;994;28.718561;33.989647
670;3668;1001;28.718561;33.989647
671;3670;995;28.745569;33.964287
672;3668;1004;28.745569;33.989647
673;3670;994;28.718561;33.989647
674;3668;1002;28.745569;33.989647
675;3668;1002;28.718561;33.989647
676;3670;994;28.718561;34.014977
677;3670;1003;28.718561;33.989647
678;3670;994;28.691584;33.989647
679;3668;996;28.718561;33.989647
680;3668;1002;28.718561;33.989647
681;3670;994;28.691584;33.989647
682;3670;993;28.691584;33.964287
683;3670;1001;28.691584;33.989647
684;3670;993;28.718561;33.989647
685;3670;1002;28.691584;33.989647
686;3673;994;28.691584;33.964287
687;3670;1001;28.691584;33.964287
688;3673;1001;28.718561;33.989647
689;3673;996;28.718561;33.989647
690;3670;1001;28.718561;33.964287
691;3670;995;28.691584;33.964287
692;3670;1001;28.718561;33.964287
693;3673;994;28.637598;33.964287
694;3673;1000;28.691584;33.964287
695;3670;1000;28.691584;33.938927
696;3673;1001;28.718561;33.964287
697;3673;999;28.691584;33.938927
698;3673;994;28.691584;33.938927
699;3673;995;28.691584;33.938927
700;3670;1001;28.691584;33.938927
701;3673;995;28.691584;33.964287
702;3673;1000;28.691584;33.938927
703;3673;1001;28.664576;33.938927
704;3675;1000;28.691584;33.913567
705;3673;1002;28.691584;33.913567
706;3673;995;28.637598;33.938927
707;3673;995;28.691584;33.964287
708;3673;1002;28.691584;33.938927
709;3673;994;28.664576;33.938927
710;3673;1001;28.691584;33.938927
711;3677;1002;28.664576;33.888206
712;3673;1001;28.664576;33.913567
713;3673;996;28.691584;33.913567
714;3673;994;28.637598;33.913567
715;3673;1002;28.691584;33.938927
716;3675;995;28.637598;33.913567
717;3673;1002;28.664576;33.938927
718;3673;1001;28.691584;33.913567
719;3675;1000;28.664576;33.913567
720;3677;1002;28.664576;33.913567
721;3673;994;28.691584;33.888206
722;3675;1002;28.664576;33.913567
723;3675;994;28.664576;33.913567
724;3677;996;28.691584;33.913567
725;3675;995;28.718561;33.938927
726;3675;994;28.664576;33.888206
727;3677;1003;28.691584;33.913567
728;3677;999;28.664576;33.938927
729;3677;995;28.637598;33.938927
730;3677;1002;28.664576;33.913567
731;3677;1000;28.664576;33.938927
732;3673;1002;28.691584;33.913567
733;3677;993;28.691584;33.888206
734;3675;993;28.691584;33.913567
735;3677;995;28.691584;33.913567
736;3677;994;28.664576;33.913567
737;3675;1002;28.691584;33.913567
738;3675;995;28.691584;33.938927
739;3675;994;28.718561;33.913567
740;3677;994;28.691584;33.913567
741;3675;1000;28.691584;33.913567
742;3677;994;28.718561;33.913567
743;3675;1000;28.718561;33.938927
744;3677;1002;28.691584;33.913567
745;3677;1002;28.691584;33.862816
746;3677;1003;28.691584;33.938927
747;3677;996;28.691584;33.913567
748;3677;1000;28.664576;33.913567
749;3677;1002;28.691584;33.888206
750;3677;1002;28.718561;33.913567
751;3679;1001;28.691584;33.913567
752;3677;995;28.691584;33.913567
753;3677;1002;28.691584;33.888206
754;3677;1001;28.691584;33.913567
755;3679;993;28.691584;33.913567
756;3677;993;28.691584;33.913567
757;3677;1002;28.691584;33.862816
758;3677;1001;28.664576;33.862816
759;3679;1000;28.637598;33.888206
760;3679;1002;28.637598;33.862816
761;3679;1002;28.664576;33.913567
762;3679;1001;28.664576;33.862816
763;3679;1000;28.691584;33.862816
764;3679;999;28.691584;33.862816
765;3679;1002;28.691584;33.837425
766;3679;1001;28.637598;33.862816
767;3679;994;28.691584;33.837425
768;3679;1002;28.691584;33.837425
769;3679;1002;28.691584;33.812065
770;3679;1002;28.718561;33.837425
771;3679;1002;28.691584;33.761253
772;3679;1002;28.691584;33.761253
773;3679;1001;28.718561;33.761253
774;3682;1001;28.691584;33.710411
775;3682;1002;28.691584;33.735832
776;3682;995;28.691584;33.735832
777;3679;994;28.718561;33.710411
778;3679;1000;28.718561;33.735832
779;3682;1000;28.718561;33.68502
780;3682;1002;28.745569;33.761253
781;3682;1001;28.745569;33.761253
782;3682;994;28.718561;33.837425
783;3682;994;28.718561;33.837425
